Variable,M,SD,Min,Max,N_nonmissing
offline_bullying_T1,1.8798800000000002,0.6200239067082648,1.0,4.4,500
cyberbullying_T1,1.5903399999999999,0.5073765330527078,1.0,3.54,500
strong_tie_withdrawal_T2,2.25508,0.7925834787210009,1.0,4.83,500
neutral_tie_withdrawal_T2,2.46224,0.7745308117542602,1.0,5.0,500
family_support_T1,5.44992,1.042117657476375,1.54,7.0,500
depression_T3,6.251200000000001,4.819081411566172,0.0,21.9,500
anxiety_T3,5.610200000000001,4.615322129246605,0.0,21.0,500
stress_T3,14.9268,7.2879592795872465,0.0,39.0,500
