Variable,offline_bullying_T1,cyberbullying_T1,strong_tie_withdrawal_T2,neutral_tie_withdrawal_T2,family_support_T1,depression_T3,anxiety_T3,stress_T3
offline_bullying_T1,1.0,0.49427193181674756,0.33973561589384216,0.35755979437472996,-0.30600288508170054,0.21409946729669255,0.23258737543549202,0.27548906781398885
cyberbullying_T1,0.49427193181674756,1.0,0.40180817076292413,0.38841977264239136,-0.30260230622067935,0.17081830344370472,0.27656407620544976,0.2105703102452962
strong_tie_withdrawal_T2,0.33973561589384216,0.40180817076292413,1.0,0.6540173729996082,-0.2651030761637109,0.4381831534062119,0.4152105613421608,0.3827057018422333
neutral_tie_withdrawal_T2,0.35755979437472996,0.38841977264239136,0.6540173729996082,1.0,-0.2612768595667969,0.41327615991481376,0.438410356046469,0.4269213189456
family_support_T1,-0.30600288508170054,-0.30260230622067935,-0.2651030761637109,-0.2612768595667969,1.0,-0.17440081889646913,-0.19817947767160035,-0.1572429670979841
depression_T3,0.21409946729669255,0.17081830344370472,0.4381831534062119,0.41327615991481376,-0.17440081889646913,1.0,0.7521962464903462,0.6418981140289519
anxiety_T3,0.23258737543549202,0.27656407620544976,0.4152105613421608,0.438410356046469,-0.19817947767160035,0.7521962464903462,1.0,0.6426453580800917
stress_T3,0.27548906781398885,0.2105703102452962,0.3827057018422333,0.4269213189456,-0.1572429670979841,0.6418981140289519,0.6426453580800917,1.0
