Effect,Boot_N,Mean,SE,CI_low,CI_high,p_two_tailed_approx
Offline bullying -> Withdrawal -> Depression,2000,0.40684742021742465,0.11187379922682647,0.20403407857192532,0.6377436935395371,0.0
Offline bullying -> Withdrawal -> Anxiety,2000,0.3450889549439731,0.10211117141736996,0.1655304760990269,0.5554719491071656,0.0
Offline bullying -> Withdrawal -> Stress,2000,0.5591980510048479,0.15868476825891675,0.27060858259134346,0.8926588691622475,0.0
Cyberbullying -> Withdrawal -> Depression,2000,0.7214192412198313,0.16109318152446436,0.4334441237201044,1.0480482698285056,0.0
Cyberbullying -> Withdrawal -> Anxiety,2000,0.6094615668663803,0.14397122976627616,0.355425706808403,0.908349882163719,0.0
Cyberbullying -> Withdrawal -> Stress,2000,0.9889657383391529,0.22209128897570057,0.5970221683269903,1.4539491259899553,0.0
Offline bullying -> Withdrawal,2000,0.21533556373620386,0.05191344763363705,0.11400312500333044,0.31752895850770935,0.0
Cyberbullying -> Withdrawal,2000,0.38154054815960786,0.06806657741709138,0.24698811700369241,0.5174524724017602,0.0
